Mathematical foundations,,,,,,,,,,,,,,,Jackson's Connections,Amy's Connections
Module-level Learning Outcomes,Label,Student Content Interaction,,,,,,,,,Assessment,,,,,
,,Lecture,Demo,Example,Videos,TPS,PhET,Reading,Lab,Discuss,HW,Quiz,Midterm I,Lab,,
Convert a quantity from one unit of measure to another.,A,x,,x,x,,,x,,x,x,x,,,,"2A, 2D, 2E, 2G, 2H, 4A, 4D, 4E, 4F, 5A, 5B, 5C, 5E, 6B, 6E, 6G, 6H, 6I, 7A, 7D, 7E, 8A, 8B, 8C, 8E, 8F, 8G, 8H, 8L, 8M, 8N, 8O, 9A, 9C, 10C, 10D"
Employ scientific notation in representing very large and very small numbers.,B,x,,x,,x,,x,,x,x,x,,x,,"1A, 1H, 2I, 2J, 2K, 4D, 4E, 4F, 5A, 5B, 5C, 6B, 6E, 6F, 6G, 6H, 6I, 7A, 7D, 7E, 8H, 8J, 8L, 8M, 9A, 9C 9G, 9I, 10C, 10D"
Specify whether given physical quantities are scalars or vectors.,C,x,,,,,,,x,x,,x,,,,"1D, 1E, 1F, 2A, 2B, 2H, 2K, 3B, 3C, 3D, 3E, 4A, 4B, 4C, 4D, 4E, 4F, 5D, 5E, 5F, 6A, 6B, 6C, 6D, 6G, 6H, 7A, 7B, 7D, 8J, 8K, 8L, 9A, 9B, 9C, 9D, 9E, 9F, 9G, 9I, 10A, 10B "
Relate the components of a vector to the magnitude and direction of the vector.,D,x,,x,x,,,x,,x,,x,x,,,"1C, 1E, 1F, 2A, 2B, 2H, 2K, 3B, 3C, 3D, 3E, 4A, 4B, 4C, 4D, 4E, 4F, 5D, 5E, 5F, 6A, 6B, 6C, 6D, 6G, 6H, 7A, 7B, 7D, 8J, 8K, 8L, 9A, 9B, 9C, 9D, 9E, 9F, 9G, 9I, 10A, 10B "
Deconstruct a vector into components.,E,x,,x,x,,,x,,x,,x,x,,,"1C, 1D, 1F, 2A, 2B, 2H, 2K, 3B, 3C, 3D, 3E, 4A, 4B, 4C, 4D, 4E, 4F, 5D, 5E, 5F, 6A, 6B, 6C, 6D, 6G, 6H, 7A, 7B, 7D, 8J, 8K, 8L, 9A, 9B, 9C, 9D, 9E, 9F, 9G, 9I, 10A, 10B "
Determine the sum or difference of two (or more) vectors by adding (or subtracting) like components.,F,x,,x,x,,x,x,,x,x,x,,,,"1C, 1D, 1E, 2A, 2B, 2H, 2K, 3B, 3C, 3D, 3E, 4A, 4B, 4C, 4D, 4E, 4F, 5D, 5E, 5F, 6A, 6B, 6C, 6D, 6G, 6H, 7A, 7B, 7D, 8J, 8K, 8L, 9A, 9B, 9C, 9D, 9E, 9F, 9G, 9I, 10A, 10B "
Recognize the slope of a curve on a plot as change in vertically represented parameter over change in horizontally represented parameter.,G,x,,,,,,x,x,x,,x,,x,,"2A, 2D, 2F, 2G, 3F, 6I, 8B, 8C, 8D, 8I"
Limit mathematical results to the proper number of significant figures.,H,x,,x,,x,,,x,x,x,x,,x,,"1A, 1H, 2I, 2J, 2K, 4D, 4E, 4F, 5A, 5B, 5C, 6B, 6E, 6F, 6G, 6H, 6I, 7A, 7D, 7E, 8H, 8J, 8L, 8M, 9A, 9C 9G, 9I, 10C, 10D"