Work and Power,,,,,,,,,,,,,,Jackson's Connections,Amy's Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,Assessment,,,,,
,,Lecture,Demo,Slides,Videos,TPS,Reading,Lab,Discuss,HW,Quiz,Midterm II,Lab,,
Calculate the scalar (dot) product of two vectors using its definition and the component method.,A,x,,x,,,x,,x,,x,,,,"6B, 6C, 6D, 6E, 6F, 6G, 6H, 6I"
Evaluate the work done by various forces over for an object with a given displacement.,B,x,,x,x,,x,,x,x,x,,,,"6A, 6C, 6D, 6E, 6F, 6G, 6H, 6I"
Recognize conditions under which a force will do no work on an object.,C,x,x,,,x,x,,x,x,x,,,,"6A, 6B, 6E, 6F, 6G, 6H, 6I, 8K"
Relate the sign of work (positive or negative) to the direction of the force relative to the direction of motion.,D,x,,x,,x,,,,x,x,,,,"6A, 6B, 6E, 6F, 6G, 6H, 6I"
Apply the work-energy theorem to solve for information on the forces acting on an object.,E,x,,x,,,,,,x,x,,,,"6A, 6B, 6C, 6D, 6F, 6G, 6H, 6I"
Apply the work-energy theorem to solve for information on the work being done on an object.,F,x,,,,,x,,x,x,,x,,,"6A, 6B, 6C, 6D, 6E, 6G, 6H, 6I"
Apply the work-energy theorem to solve for information on the change in kinetic energy of the object.,G,x,x,,x,,x,,,x,,x,,,"6A, 6B, 6C, 6D, 6E, 6F, 6H, 6I"
Apply energy conservation with the presence of the non-conservative force of friction.,H,x,x,x,x,,,,x,,,x,,,"6A, 6B, 6C, 6D, 6E, 6F, 6G, 6I"
Relate the average power supplied or consumed in a process to the duration of the process and the energy supplied or consumed.,I,x,,x,,x,x,,x,x,x,,,,"6A, 6B, 6D, 6E, 6F, 6G, 6H"