Electric Potential,,,,,,,,,,,,,,,6C Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,,Assessment,,,,
,,Example,Demo,Slides,Videos,TPS,PhET,Reading,Lab,Discuss,HW,Quiz,Midterm,Lab,
Solve for the value of the electric potential energy due to a distribution of point charges.,A,x,,x,x,x,,x,,x,x,,x,,"4B, 4C, 4D, 4E, 4F, 5C, 5D, 5H, 5L, 6J, 7H"
"Solve for the value of the electric potential at a point due to a single point charge, and a distribution of point charges.",B,x,,x,x,,,x,,x,x,x,x,,"4A, 4C, 4D, 4E, 4F, 4G, 4H, 4I, 4J, 4K, 5A, 6B, 6C, 6H, 6I, 7A, 7C, 7D, 7E, 7H, 10B, 10C, 10G"
Calculate the potential energy of a charge in an electric potential.,C,x,,,,,,,x,x,x,,x,x,"4A, 4B, 4D, 4E, 5C, 5D, 5H, 5L, 7H, 10D, 10G"
Use energy conservation to determine particle motion inside of an electric potential.,D,x,,x,x,,,x,,x,x,x,,,"4A, 4B, 4C, 4E, 4F, 5E, 5F, 5H, 6J, 9B, 9C, 10B, 10C, 10D "
"Recognize the relationship between the electric potential, potential energy and work on a test charge.",E,,,x,x,x,,x,,x,,,x,,"4A, 4B, 4C, 4D, 4F, 4G, 4H, 4I, 4J, 5C, 5D, 5L, 6J, 9B, 10B, 10C"
Calculate the electric potential at different points between two parallel plates from the electric field.,F,x,,x,,x,x,,x,x,x,x,X,x,"4A, 4B, 4D, 4E, 4H, 4I, 5A, 5B, 5C, 5D, 6B, 7A, 7C, 7H, 10C"
Graphically represent the electric potential with an equipotential map for point charges.,G,,,x,,,,,,,x,x,X,,"4B, 4E, 4K, 4I, 7H"
Graphically represent the electric potential with an equipotential map for two parallel plates.,H,,,x,,,x,,,x,x,,x,,"4B, 4E, 4F, 4I, 4K, 5B, 7H"
Utilize an equipotential map to draw electric field lines with correct direction and magnitude representations.,I,x,,,,,,,,x,,,x,,"4B, 4E, 4F, 4G, 4H, 4K, 5B, 7H"
Relate the zero-value electric field inside of a perfect conductor to its constant potential.,J,,,x,,x,,,,,x,x,X,,"4B, 4E, 5F"
Apply potential differences to interpret an electrocardiogram of a human heart throughout a full heartbeat.,K,,,x,,x,,x,,,,x,,,"4B, 4H, 4I, 7H"